,MN_EARN_WNE_P6
966,36000.0
967,20700.0
968,22300.0
969,37300.0
970,39700.0
971,38700.0
972,34500.0
973,31100.0
974,37900.0
975,54300.0
976,35300.0
977,28700.0
978,28900.0
979,28800.0
980,32000.0
981,41400.0
982,39800.0
983,36700.0
984,28100.0
985,32400.0
986,32035.23115463448
987,29600.0
988,31600.0
989,32200.0
990,17400.0
991,44000.0
992,32700.0
993,29200.0
994,47700.0
995,31100.0
996,22200.0
997,23500.0
998,20200.0
999,20300.0
1000,38200.0
1001,38400.0
1002,22900.0
1003,27400.0
1004,44000.0
1005,38000.0
1006,43600.0
1007,34000.0
1008,29900.0
1009,39600.0
1010,36100.0
1011,30600.0
1012,41900.0
1013,17500.0
1014,43800.0
1015,24800.0
1016,41500.0
1017,44500.0
1018,18900.0
1019,40000.0
1020,28200.0
1021,30100.0
1022,21000.0
1023,32035.23115463448
1024,17000.0
1025,41200.0
1026,32900.0
1027,40700.0
1028,32035.23115463448
1029,29100.0
1030,36900.0
1031,28000.0
1032,48500.0
1033,29400.0
1034,35500.0
1035,32100.0
1036,36600.0
1037,30900.0
1038,30400.0
1039,28700.0
1040,28800.0
1041,31600.0
1042,29300.0
1043,32600.0
1044,24400.0
1045,33000.0
1046,34200.0
1047,36800.0
1048,29600.0
1049,42300.0
1050,30600.0
1051,29500.0
1052,21700.0
1053,17700.0
1054,36600.0
1055,29800.0
1056,31500.0
1057,26000.0
1058,32200.0
1059,24000.0
1060,29400.0
1061,45100.0
1062,39500.0
1063,16100.0
1064,41400.0
1065,36000.0
1066,36100.0
1067,30000.0
1068,41900.0
1069,30600.0
1070,37900.0
1071,45700.0
1072,30900.0
1073,35100.0
1074,33500.0
1075,41600.0
1076,41600.0
1077,37900.0
1078,39300.0
1079,41900.0
1080,30200.0
1081,33600.0
1082,41200.0
1083,31800.0
1084,37700.0
1085,36100.0
1086,32900.0
1087,38900.0
1088,24900.0
1089,28400.0
1090,29300.0
1091,26800.0
1092,13900.0
1093,43100.0
1094,27100.0
1095,17500.0
1096,28100.0
1097,30800.0
1098,28700.0
1099,26700.0
1100,38500.0
1101,32035.23115463448
1102,43200.0
1103,28500.0
1104,32700.0
1105,26000.0
1106,32500.0
1107,14300.0
1108,23300.0
1109,18100.0
1110,27700.0
1111,26000.0
1112,26500.0
1113,21800.0
1114,20400.0
1115,32035.23115463448
1116,25600.0
1117,30100.0
1118,43500.0
1119,29900.0
1120,25700.0
1121,38200.0
1122,27300.0
1123,24500.0
1124,34600.0
1125,30000.0
1126,33100.0
1127,27600.0
1128,35200.0
1129,26200.0
1130,32100.0
1131,25000.0
1132,18500.0
1133,20900.0
1134,21600.0
1135,16800.0
1136,22700.0
1137,22900.0
1138,38000.0
1139,29100.0
1140,46700.0
1141,34400.0
1142,28800.0
1143,30800.0
1144,32035.23115463448
1145,22000.0
1146,49000.0
1147,25700.0
1148,28000.0
1149,32900.0
1150,23000.0
1151,28900.0
1152,32035.23115463448
1153,27600.0
1154,33600.0
1155,26200.0
1156,15300.0
1157,53400.0
1158,65600.0
1159,33000.0
1160,45000.0
1161,30400.0
1162,36000.0
1163,21900.0
1164,20500.0
1165,32035.23115463448
1166,35400.0
1167,38800.0
1168,36000.0
1169,36600.0
1170,35200.0
1171,37200.0
1172,38100.0
1173,32035.23115463448
1174,35700.0
1175,38700.0
1176,46400.0
1177,32035.23115463448
1178,25000.0
1179,32035.23115463448
1180,28400.0
1181,23400.0
1182,39200.0
1183,21100.0
1184,34600.0
1185,30800.0
1186,26800.0
1187,27000.0
1188,37200.0
1189,32035.23115463448
1190,48400.0
1191,46700.0
1192,20500.0
1193,46000.0
1194,22500.0
1195,57100.0
1196,47200.0
1197,29500.0
1198,50200.0
1199,32200.0
1200,31000.0
1201,36600.0
1202,26000.0
1203,27700.0
1204,36000.0
1205,25400.0
1206,37400.0
1207,82000.0
1208,27600.0
1209,41200.0
1210,27600.0
1211,16800.0
1212,24000.0
1213,42500.0
1214,24000.0
1215,29900.0
1216,35600.0
1217,31700.0
1218,27800.0
1219,25400.0
1220,28300.0
1221,34300.0
1222,16600.0
1223,19200.0
1224,24900.0
1225,45100.0
1226,34200.0
1227,53000.0
1228,29600.0
1229,31200.0
1230,26700.0
1231,46700.0
1232,31700.0
1233,16700.0
1234,28100.0
1235,31200.0
1236,33800.0
1237,26000.0
1238,31800.0
1239,29700.0
1240,30000.0
1241,37500.0
1242,34100.0
1243,19700.0
1244,68000.0
1245,31600.0
1246,52000.0
1247,47700.0
1248,79900.0
1249,42900.0
1250,50100.0
1251,30200.0
1252,29100.0
1253,27500.0
1254,19600.0
1255,34000.0
1256,30300.0
1257,42000.0
1258,19000.0
1259,47200.0
1260,33900.0
1261,25200.0
1262,21500.0
1263,40000.0
1264,38600.0
1265,31600.0
1266,41900.0
1267,43800.0
1268,40700.0
1269,36400.0
1270,26300.0
1271,41700.0
1272,61600.0
1273,38000.0
1274,32035.23115463448
1275,47100.0
1276,77000.0
1277,36700.0
1278,32035.23115463448
1279,37000.0
1280,30600.0
1281,38100.0
1282,67000.0
1283,25700.0
1284,29000.0
1285,16900.0
1286,40200.0
1287,64900.0
1288,52800.0
1289,47000.0
1290,37500.0
1291,29500.0
1292,54400.0
1293,31900.0
1294,36400.0
1295,28600.0
1296,29500.0
1297,55100.0
1298,38300.0
1299,44800.0
1300,26600.0
1301,28700.0
1302,32035.23115463448
1303,41400.0
1304,39100.0
1305,38700.0
1306,39500.0
1307,45100.0
1308,20400.0
1309,32400.0
1310,37700.0
1311,38100.0
1312,34300.0
1313,36300.0
1314,29100.0
1315,24900.0
1316,91300.0
1317,32035.23115463448
1318,55500.0
1319,28200.0
1320,36400.0
1321,64100.0
1322,33400.0
1323,31000.0
1324,21000.0
1325,45700.0
1326,44200.0
1327,42600.0
1328,34400.0
1329,82200.0
1330,31200.0
1331,99600.0
1332,75200.0
1333,32035.23115463448
1334,31200.0
1335,47000.0
1336,69200.0
1337,33800.0
1338,25000.0
1339,36800.0
1340,31600.0
1341,34000.0
1342,40300.0
1343,30100.0
1344,38400.0
1345,31000.0
1346,57800.0
1347,30400.0
1348,45500.0
1349,29100.0
1350,40000.0
1351,33300.0
1352,40500.0
1353,29500.0
1354,39300.0
1355,49700.0
1356,29000.0
1357,37400.0
1358,37400.0
1359,40700.0
1360,30400.0
1361,41100.0
1362,50800.0
1363,43700.0
1364,18700.0
1365,56600.0
1366,48600.0
1367,54200.0
1368,46800.0
1369,37500.0
1370,38300.0
1371,51400.0
1372,66300.0
1373,41000.0
1374,34000.0
1375,37600.0
1376,32035.23115463448
1377,29200.0
1378,36500.0
1379,28600.0
1380,35200.0
1381,32000.0
1382,27600.0
1383,27100.0
1384,38900.0
1385,34000.0
1386,37600.0
1387,24900.0
1388,16900.0
1389,46700.0
1390,31100.0
1391,37100.0
1392,35100.0
1393,21000.0
1394,28200.0
1395,20600.0
1396,47500.0
1397,47000.0
1398,21400.0
1399,21400.0
1400,35300.0
1401,40300.0
1402,32035.23115463448
1403,27400.0
1404,66100.0
1405,28900.0
1406,27500.0
1407,37500.0
1408,27300.0
1409,37700.0
1410,20700.0
1411,28600.0
1412,39200.0
1413,28000.0
1414,39600.0
1415,28100.0
1416,28300.0
1417,26100.0
1418,17700.0
1419,26400.0
1420,33000.0
1421,29100.0
1422,48100.0
1423,16600.0
1424,29900.0
1425,40700.0
1426,35200.0
1427,55900.0
1428,19900.0
1429,45200.0
1430,54000.0
1431,41800.0
1432,36800.0
1433,27700.0
1434,29800.0
1435,26500.0
1436,27100.0
1437,25300.0
1438,32000.0
1439,27600.0
1440,45700.0
1441,28700.0
1442,39700.0
1443,31000.0
1444,16000.0
1445,27000.0
1446,21800.0
1447,22600.0
1448,20000.0
1449,35400.0
1450,31000.0
1451,43100.0
1452,29900.0
1453,25200.0
1454,28700.0
1455,38800.0
1456,17300.0
1457,29300.0
1458,15500.0
1459,51700.0
1460,28900.0
1461,24100.0
1462,37900.0
1463,26300.0
1464,35300.0
1465,31300.0
1466,36900.0
1467,36000.0
1468,34800.0
1469,41500.0
1470,32200.0
1471,32400.0
1472,37000.0
1473,31100.0
1474,46100.0
1475,31900.0
1476,43400.0
1477,39700.0
1478,46000.0
1479,39200.0
1480,29300.0
1481,34300.0
1482,18200.0
1483,34600.0
1484,33100.0
1485,43400.0
1486,42800.0
1487,34700.0
1488,36300.0
1489,28800.0
1490,36400.0
1491,33000.0
1492,36900.0
1493,31800.0
1494,38800.0
1495,59700.0
1496,36600.0
1497,44600.0
1498,46000.0
1499,42500.0
1500,32700.0
1501,31500.0
1502,30100.0
1503,22000.0
1504,40900.0
1505,34900.0
1506,21400.0
1507,36300.0
1508,35600.0
1509,34800.0
1510,29700.0
1511,34200.0
1512,35200.0
1513,41100.0
1514,23900.0
1515,32800.0
1516,29100.0
1517,33200.0
1518,42300.0
1519,35300.0
1520,38000.0
1521,49600.0
1522,42600.0
1523,41500.0
1524,33400.0
1525,48600.0
1526,48600.0
1527,20000.0
1528,44300.0
1529,29900.0
1530,29300.0
1531,34900.0
1532,18600.0
1533,31100.0
1534,40700.0
1535,32900.0
1536,33500.0
1537,40000.0
1538,32900.0
1539,26900.0
1540,34900.0
1541,29000.0
1542,20000.0
1543,25700.0
1544,32400.0
1545,27300.0
1546,25600.0
1547,20300.0
1548,24900.0
1549,26000.0
1550,25600.0
1551,27800.0
1552,25700.0
1553,26400.0
1554,39400.0
1555,21900.0
1556,41300.0
1557,33100.0
1558,22500.0
1559,34500.0
1560,26700.0
1561,37100.0
1562,26000.0
1563,26000.0
1564,28300.0
1565,20900.0
1566,26400.0
1567,33500.0
1568,20400.0
1569,25300.0
1570,34000.0
1571,39900.0
1572,23900.0
1573,20500.0
1574,41100.0
1575,30900.0
1576,33400.0
1577,25000.0
1578,35000.0
1579,35100.0
1580,41700.0
1581,36300.0
1582,26300.0
1583,26100.0
1584,33700.0
1585,30400.0
1586,26600.0
1587,25300.0
1588,32800.0
1589,36200.0
1590,32035.23115463448
1591,26900.0
1592,31600.0
1593,23800.0
1594,16000.0
1595,18900.0
1596,28000.0
1597,32035.23115463448
1598,56600.0
1599,26300.0
1600,32035.23115463448
1601,27000.0
1602,37900.0
1603,40400.0
1604,40900.0
1605,29200.0
1606,44000.0
1607,44100.0
1608,19000.0
1609,22600.0
1610,32035.23115463448
1611,25700.0
1612,31500.0
1613,31300.0
1614,29700.0
1615,31300.0
1616,42700.0
1617,44400.0
1618,57200.0
1619,38700.0
1620,26900.0
1621,32035.23115463448
1622,36000.0
1623,34000.0
1624,27000.0
1625,28800.0
1626,42200.0
1627,26100.0
1628,28500.0
1629,41100.0
1630,59400.0
1631,44100.0
1632,30100.0
1633,47000.0
1634,32035.23115463448
1635,27600.0
1636,104500.0
1637,25100.0
1638,31000.0
1639,27000.0
1640,22100.0
1641,27200.0
1642,33600.0
1643,31800.0
1644,34300.0
1645,24600.0
1646,29100.0
1647,63400.0
1648,38200.0
1649,37100.0
1650,43600.0
1651,33100.0
1652,15700.0
1653,32035.23115463448
1654,48100.0
1655,32035.23115463448
1656,40900.0
1657,30300.0
1658,34300.0
1659,30100.0
1660,20100.0
1661,29300.0
1662,30500.0
1663,30400.0
1664,18400.0
1665,34500.0
1666,48100.0
1667,38000.0
1668,33900.0
1669,37100.0
1670,34500.0
1671,23200.0
1672,29300.0
1673,52200.0
1674,48800.0
1675,47200.0
1676,28500.0
1677,35700.0
1678,19300.0
1679,36700.0
1680,50900.0
1681,38300.0
1682,37100.0
1683,17500.0
1684,36300.0
1685,47600.0
1686,29600.0
1687,29200.0
1688,39400.0
1689,38600.0
1690,69600.0
1691,40200.0
1692,39900.0
1693,33100.0
1694,33800.0
1695,41400.0
1696,33100.0
1697,36200.0
1698,39900.0
1699,33700.0
1700,29000.0
1701,29400.0
1702,22700.0
1703,24700.0
1704,31800.0
1705,22800.0
1706,39300.0
1707,41600.0
1708,32900.0
1709,29000.0
1710,31600.0
1711,29800.0
1712,35700.0
1713,19800.0
1714,74600.0
1715,20300.0
1716,21400.0
1717,37500.0
1718,44900.0
1719,21800.0
1720,23000.0
1721,31700.0
1722,19600.0
1723,43300.0
1724,24600.0
1725,44900.0
1726,36100.0
1727,44900.0
1728,35100.0
1729,34000.0
1730,31000.0
1731,33200.0
1732,34400.0
1733,34700.0
1734,33000.0
1735,33000.0
1736,32035.23115463448
1737,44500.0
1738,49900.0
1739,43900.0
1740,36400.0
1741,32035.23115463448
1742,33100.0
1743,25300.0
1744,26600.0
1745,30700.0
1746,32400.0
1747,26800.0
1748,32700.0
1749,30700.0
1750,30800.0
1751,36100.0
1752,29500.0
1753,41700.0
1754,32035.23115463448
1755,26600.0
1756,25900.0
1757,33900.0
1758,27800.0
1759,48600.0
1760,36200.0
1761,30900.0
1762,26500.0
1763,16800.0
1764,42300.0
1765,47800.0
1766,42300.0
1767,31300.0
1768,35700.0
1769,39800.0
1770,30700.0
1771,21600.0
1772,36100.0
1773,57200.0
1774,26200.0
1775,37200.0
1776,32035.23115463448
1777,38000.0
1778,30900.0
1779,26400.0
1780,28600.0
1781,30700.0
1782,42600.0
1783,38200.0
1784,52500.0
1785,28000.0
1786,15000.0
1787,54800.0
1788,31100.0
1789,18600.0
1790,25000.0
1791,25600.0
1792,27700.0
1793,73600.0
1794,43100.0
1795,17400.0
1796,42200.0
1797,48200.0
1798,48200.0
1799,48200.0
1800,38200.0
1801,30400.0
1802,48200.0
1803,22300.0
1804,39600.0
1805,34300.0
1806,67900.0
1807,37300.0
1808,42600.0
1809,50900.0
1810,49000.0
1811,29700.0
