,MN_EARN_WNE_P6
4167,23000.0
655,22800.0
444,35900.0
1829,29700.0
3071,25100.0
1228,29600.0
3451,32035.23115463448
3508,23300.0
3232,28200.0
590,25600.0
2906,38700.0
1575,30900.0
478,21000.0
4330,16100.0
4413,32035.23115463448
2656,33400.0
2396,40700.0
3869,18500.0
4775,32035.23115463448
2660,35900.0
1871,27900.0
3373,15400.0
2620,35800.0
465,19600.0
743,36500.0
2751,28600.0
4084,33400.0
182,40000.0
242,29200.0
2716,36400.0
1394,28200.0
1053,17700.0
3829,33700.0
653,29100.0
148,32035.23115463448
708,31600.0
3423,16300.0
23,21500.0
1285,16900.0
1957,35400.0
2260,36300.0
1532,18600.0
1436,27100.0
919,32500.0
1199,32200.0
2216,33500.0
4539,32035.23115463448
469,28300.0
4823,32035.23115463448
3349,29600.0
106,31400.0
1484,33100.0
4111,28200.0
350,32035.23115463448
1509,34800.0
1260,33900.0
48,24400.0
238,24800.0
712,27500.0
1443,31000.0
4655,32035.23115463448
4939,32035.23115463448
3419,19500.0
3811,41600.0
3762,37200.0
2663,42600.0
2718,26800.0
2613,40800.0
4164,18200.0
2511,20500.0
900,31800.0
4710,25200.0
3954,22400.0
1931,42800.0
4699,24600.0
4037,20500.0
2771,25700.0
3435,30000.0
4805,34200.0
4355,32035.23115463448
4766,32035.23115463448
2254,22700.0
2125,34300.0
30,25500.0
2306,37000.0
1226,34200.0
4001,32035.23115463448
2329,43500.0
173,26000.0
2676,20400.0
3157,36400.0
4604,25000.0
859,39300.0
1972,32035.23115463448
1917,43200.0
3307,18700.0
3017,28500.0
4094,28200.0
2491,33800.0
4888,32035.23115463448
807,32035.23115463448
1469,41500.0
2006,47300.0
4052,18800.0
3179,17000.0
493,36800.0
1623,34000.0
2651,29400.0
4410,32035.23115463448
1001,38400.0
2317,17300.0
4078,22900.0
1951,23700.0
3928,22400.0
3330,32035.23115463448
972,34500.0
1308,20400.0
3856,26600.0
2489,34000.0
3180,39100.0
3669,17300.0
3493,43700.0
4339,18400.0
2811,31600.0
3727,50500.0
3210,22100.0
4589,19500.0
4513,32035.23115463448
2642,43800.0
1663,30400.0
1701,29400.0
16,24300.0
3242,19400.0
1058,32200.0
640,39400.0
2659,51800.0
3010,27200.0
2169,25700.0
2813,22800.0
4179,24300.0
4708,32035.23115463448
1186,26800.0
2662,42500.0
4163,23100.0
4406,32035.23115463448
1716,21400.0
2960,67500.0
2469,43000.0
1966,29100.0
1920,53600.0
4466,32035.23115463448
3882,49800.0
2965,43700.0
585,42400.0
3124,37700.0
36,32100.0
1072,30900.0
76,51400.0
2238,32900.0
3244,41300.0
4615,19600.0
997,23500.0
3382,36200.0
2368,50500.0
3612,21900.0
3271,19100.0
2049,38500.0
1407,37500.0
1905,32900.0
639,26600.0
375,26900.0
3619,32035.23115463448
2170,23900.0
4040,31800.0
1327,42600.0
2786,21500.0
2793,26100.0
4267,24400.0
4843,32035.23115463448
1384,38900.0
189,39300.0
1515,32800.0
4807,18500.0
4638,69800.0
3591,32035.23115463448
2059,48300.0
353,61000.0
4047,17600.0
3081,36800.0
3399,17000.0
2248,41600.0
3817,20600.0
1383,27100.0
1628,28500.0
3773,18600.0
3111,25200.0
2495,45500.0
4107,15200.0
2326,35900.0
3258,33200.0
4096,19000.0
2929,27300.0
1470,32200.0
1839,23100.0
3852,30100.0
240,26900.0
1517,33200.0
2163,25100.0
676,28400.0
4030,18900.0
4683,32035.23115463448
4423,32035.23115463448
4519,38700.0
1382,27600.0
1205,25400.0
2454,27100.0
2919,39300.0
3405,16400.0
1027,40700.0
1019,40000.0
1816,29700.0
3105,44300.0
4049,17200.0
3558,27700.0
4404,32035.23115463448
2830,34400.0
3249,31200.0
2392,42600.0
3055,27100.0
1483,34600.0
3623,26600.0
2373,19700.0
4195,37200.0
3316,19300.0
2367,29400.0
3801,20800.0
2623,28100.0
1292,54400.0
852,29900.0
2814,24900.0
3195,29200.0
1617,44400.0
2826,31200.0
2614,36500.0
4644,22600.0
4575,32035.23115463448
2867,34800.0
4562,32035.23115463448
3219,40400.0
4956,31200.0
140,34600.0
1589,36200.0
3547,32400.0
3839,20200.0
2437,52900.0
4934,32035.23115463448
820,27100.0
4261,32035.23115463448
2745,36100.0
4477,32035.23115463448
4835,32035.23115463448
2532,20400.0
1136,22700.0
1817,25700.0
229,40800.0
999,20300.0
2715,25000.0
4211,18300.0
4553,32035.23115463448
2580,40500.0
4597,32035.23115463448
24,31800.0
1118,43500.0
2149,23900.0
628,24600.0
1471,32400.0
261,28100.0
1388,16900.0
3040,39300.0
2553,31900.0
2422,36000.0
1695,41400.0
8,32100.0
1606,44000.0
1066,36100.0
1902,29000.0
2411,50400.0
4903,32035.23115463448
1713,19800.0
3061,35500.0
400,13300.0
4444,27100.0
1994,39100.0
1539,26900.0
3472,22600.0
3638,21700.0
4424,32035.23115463448
38,25800.0
2292,40800.0
4936,32035.23115463448
864,31500.0
4813,16900.0
4260,64800.0
3582,20300.0
1434,29800.0
2440,23500.0
2433,30900.0
2375,28800.0
4242,32035.23115463448
